获取用户信息失败	Failed to fetch user info
用户名未配置	Username is not configured
未配置嵌入模型或模型不可用，请在AI设置中配置嵌入模型	Embed ， AI Embed — translated from Chinese
创建仓库失败	Failed to create repository
删除文件失败	Failed to delete file
获取文件内容失败	Failed to get file content
[SyncPushQueue] ${path} 是目录，无法推送	[SyncPushQueue] ${path} Yes ，None — translated from Chinese
S3 配置未找到	S3 configuration not found
WebDAV 配置未找到	WebDAV configuration not found
${activeFilePath} 是目录，无法推送	${activeFilePath} Yes ，None — translated from Chinese
系统找不到指定的路径	Translated message
语音识别错误:	Speech recognition error:
本地文件不存在，需要从远程拉取	LocalFile does not exist， — translated from Chinese
远程文件不存在，需要推送到远程	Remote file does not exist， — translated from Chinese
项目 ID 未配置	Project ID is not configured
参数 ids 必须是非空数组	ids Yes — translated from Chinese
参数 files 必须是非空数组	files Yes — translated from Chinese
切换工作区失败:	Failed to switch workspace:
在上方插入行	Insert row above
在下方插入行	Insert row below
在左侧插入列	Insert column left
在右侧插入列	Insert column right
文件不存在	File does not exist
未命名画布	Untitled canvas
正在加载 Infographic...	Loading Infographic...
文本内容为空	Text content is empty
未命名文件	Untitled file
模糊搜索失败	Failed — translated from Chinese
向量搜索失败	Vector Failed — translated from Chinese
工作区记忆缺少工作区标识	Translated message
记忆不存在	Memory does not exist
清空全部记忆	Clear all memories
无效的行号范围: ${startLine}-${endLine}，文件共 ${lines.length} 行	None : ${startLine}-${endLine}，File ${lines.length} — translated from Chinese
嵌入结果格式不正确	Embed Format — translated from Chinese
重排序结果格式不正确	Format — translated from Chinese
上传文件时发生错误	File Error — translated from Chinese
更新文件失败	UpdateFileFailed
删除文件时发生错误	File Error — translated from Chinese
获取文件内容时发生错误	File Error — translated from Chinese
访问令牌未配置	Access token is not configured
获取用户信息时发生错误	Error — translated from Chinese
获取文件列表失败: ${response.status}	FileListFailed: ${response.status} — translated from Chinese
[SyncPushQueue] S3 未配置	[SyncPushQueue] S3 is not configured
[SyncPushQueue] WebDAV 未配置	[SyncPushQueue] WebDAV is not configured
[Gitee] 缺少 accessToken 或 username	[Gitee] accessToken username — translated from Chinese
保留本地版本	Keep local version
使用远程版本	Use remote version
远程文件已更新（ETag 不匹配），需要拉取更新	File Update（ETag ）， Update — translated from Chinese
ETag 匹配，文件已同步	ETag ，File — translated from Chinese
本地文件较新，需要推送	LocalFile ， — translated from Chinese
远程文件较新，需要拉取	File ， — translated from Chinese
远程文件不存在	Remote file does not exist
创建项目失败	Failed — translated from Chinese
远程文件内容不是有效的 Base64 字符串	File Yes Base64 — translated from Chinese
参数 marks 必须是非空数组	marks Yes — translated from Chinese
[load_skill_content] 读取文件失败: ${filePath}	[load_skill_content] FileFailed: ${filePath} — translated from Chinese
缺少必需参数 folderPath 或参数类型错误	folderPath Error — translated from Chinese
参数 folderPaths 必须是非空数组	folderPaths Yes — translated from Chinese
文件夹已存在	Folder already exists
文件夹不存在	Folder does not exist
文件夹已存在: ${normalizedFolderPath}	Folder already exists: ${normalizedFolderPath}
路径不存在: ${normalizedFolderPath || '根目录'}	${normalizedFolderPath || 'Root directory'} — translated from Chinese
找到 ${folders.length} 个文件夹	${folders.length} Folder — translated from Chinese
参数 chats 必须是非空数组	chats Yes — translated from Chinese
参数 filePaths 必须是非空数组	filePaths Yes — translated from Chinese
删除文件 ${filename} 的向量数据失败:	File ${filename} Vector Failed — translated from Chinese
目标文件夹 "${normalizedTargetFolderPath}" 不存在，请先创建该文件夹	Folder "${normalizedTargetFolderPath}" ， Folder — translated from Chinese
目标文件夹 "${targetFolderPath}" 不存在	Folder "${targetFolderPath}" — translated from Chinese
编辑器内容已变化，请重新获取内容后再操作	， — translated from Chinese
成功替换第 ${params.startLine}-${params.endLine} 行内容	${params.startLine}-${params.endLine} — translated from Chinese
成功替换 ${to - from} 个字符	${to - from} — translated from Chinese
找不到文本 "${params.searchContent}"	Text "${params.searchContent}" — translated from Chinese
成功替换匹配文本 "${params.searchContent}"	Text "${params.searchContent}" — translated from Chinese
附件不存在或已不在本次运行授权范围内。	。 — translated from Chinese
当前没有打开的画布。	。 — translated from Chinese
${item} 必须提供当前画布中真实存在的节点 id。	${item} id。 — translated from Chinese
参数 tags 必须是非空数组	tags Yes — translated from Chinese
${diffMins} 分钟前	${diffMins} — translated from Chinese
无法复制错误信息，请检查剪贴板权限	None Copy error details， — translated from Chinese
复制 GitHub 反馈信息失败:	GitHub Failed — translated from Chinese
复制错误信息	Copy error details
时间：${new Date().toISOString()}	：${new Date().toISOString()} — translated from Chinese
音频加载错误:	Audio load error:
打印内容不存在或已经过期	Translated message
上下文已清除，之后的对话将只携带此消息之后的内容。	， Chat 。 — translated from Chinese
\n... (共 ${totalLines} 行，后 ${totalLines - 100} 行省略)	\n... ( ${totalLines} ， ${totalLines - 100} ) — translated from Chinese
请在系统打印窗口中选择“另存为 PDF”。	“ PDF”。 — translated from Chinese
已打开 PDF 打印窗口	Opened PDF print window
选择工作区失败:	Failed to select workspace:
重置工作区失败:	Failed to reset workspace:
输入网页链接，系统将自动爬取页面内容并保存	Link， Save — translated from Chinese
自动读取剪贴板链接	Auto-read clipboard link
正在爬取页面内容...	Fetching page content...
画布资源/${crypto.randomUUID()}.${extension}	Canvas asset/${crypto.randomUUID()}.${extension}
返回一级菜单	Back to menu
输入自定义 AI 指令，例如：整理成会议纪要	AI ， ： — translated from Chinese
插入文件链接失败	Failed to insert file link
请先输入一些内容	Enter some content first
自定义指令	Custom instruction
已插入记录	Record inserted
复制代码块	Copy code block
